group,label,n,reps,median_ops_s,ci_lo_ops_s,ci_hi_ops_s,best_ops_s,rel_spread_pct
decomp,"Set.add() loop          [JS baseline]",80000,4,4709423.904499643,2830305.195700922,5535298.668802185,5535298.668802185,12.994581939419614
decomp,"add() loop      [N crossings]",80000,4,2820330.321471584,2264315.2771455385,3541269.2882978315,3541269.2882978315,23.894141450987437
decomp,"addAll(string[]) [1 crossing]",80000,4,4186117.4776081042,2397701.108154513,4899522.431299815,4899522.431299815,22.494276597780377
decomp,"addInts(Uint32)  [1 crossing, zero-copy]",80000,4,73744110.04818924,35183362.491545,80728656.85678938,80728656.85678938,13.78185021587528
decomp,"addHashes(u64)   [1 crossing, no hash]",80000,4,90776909.43391207,43809210.88658891,128397312.64424635,128397312.64424635,60.33888803989784
kernel,"addHashes  [SBBF, memory-bound]",80000,4,122470014.08653483,110686964.8112303,125838200.38789624,125838200.38789624,3.779726891961679
kernel,"hasHashes  [SBBF, memory-bound]",80000,4,104517982.30115686,29979040.90302867,119068704.13064218,119068704.13064218,10.599093096524598
kernel,"addInts    [SBBF, +native hash]",80000,4,60721146.85645121,34270826.05970749,79761433.55224524,79761433.55224524,39.28966670708656
kernel,"addHashes  [classic, control]",80000,4,22533626.79605332,19524433.608383793,26430710.900223404,26430710.900223404,15.570447148322266
kernel,"unionInPlace [OR words]",26328,4,598074014.9136523,441441290.387485,626245807.6639471,626245807.6639471,6.021154609703815
ingest,"ingestFile      [sync fread]",80000,4,25488587.005300134,16517022.443330096,42814588.214642376,42814588.214642376,33.03513042626313
ingest,"ingestFileAsync [libuv worker]",80000,4,33841574.99546737,17220881.26568311,39452478.503330775,39452478.503330775,11.794905329077245
ingest,"ingestFileMmap  [mmap]",80000,4,26837972.35701816,21981856.7250056,31271486.931841057,31271486.931841057,18.563588633384395
ingest,"createIngestStream [pipe]",80000,4,15610923.031336907,8082783.055778982,17787228.72530716,17787228.72530716,15.60457351825587
datadep,"classic hasHashes [100% present]",80000,4,27560287.56246275,27430524.48191454,27713555.462099288,27713555.462099288,0.6271036059375057
datadep,"classic hasHashes [100% absent]",80000,4,16162745.982338019,12611079.968749745,16843190.319207933,16843190.319207933,3.953141584880524
