n,table_bytes,table_kib,add_median_ops_s,add_ci_lo,add_ci_hi,has_median_ops_s,has_ci_lo,has_ci_hi
1024,1376,1.3,30323916.922950983,16826054.09313484,36630898.70980495,23743820.52726789,15549753.059838828,27653254.11828247
2048,2720,2.7,66382533.63409355,64317567.99196031,68525150.73030493,50190578.55899967,48458462.48491588,50980782.63467091
4096,5408,5.3,84692845.00633891,66081427.304839835,92997911.17972936,63892708.613360554,31298448.091905553,72773790.06467202
8192,10784,10.5,107121387.62601592,82458453.70267849,109965635.73883161,82590280.6694324,67414435.8402528,90939366.3550987
16384,21568,21.1,126745979.57044202,125573685.88707793,128199309.86455505,107485952.27919716,101430185.10746011,108722494.34538917
32768,43136,42.1,131074173.78939101,122608368.70059824,137437979.6611179,112447930.6565274,82806988.31294884,119351666.36313969
65536,86272,84.3,132213244.16633537,84345024.89707194,135133399.0100336,120275697.13121885,117628873.1646949,123494617.27334225
131072,172512,168.5,103531175.82699808,86104574.69968638,110891532.98843479,106137642.75637446,92666808.39325345,111288754.54780877
262144,345024,336.9,71006410.84264877,37699372.850814514,81994922.86076403,81136266.3134403,70024019.01532604,89926276.94634041
524288,690048,673.9,57244269.6727189,43621882.228705704,72126763.31479795,81492608.6529398,58168043.03490806,82898080.77775137
1048576,1380096,1347.8,59919531.53493747,48234849.7543881,72708956.70590793,53229225.404385835,42617718.314744264,68380897.49014972
2097152,2760192,2695.5,55484619.04503968,40818131.48176868,66947252.26188378,63660363.56224137,52954909.177418575,74153978.39789866
4194304,5520352,5391.0,49307277.29529866,44054874.21335718,56419765.45272643,59342921.17771451,54179323.45216018,73361869.39360875
